"","codigo_estacao","data","hora","temp_inst","temp_max","temp_min","umid_inst","umid_max","umid_min","pto_orvalho_inst","pto_orvalho_max","pto_orvalho_min","pressao","pressao_max","pressao_min","vento_direcao","vento_vel","vento_rajada","radiacao","precipitacao"
"265","A001","12/09/2018",23,26.6,28,26.5,26,27,23,5.7,5.9,4.7,886.5,886.5,885.8,1.4,59,5.5,-3.54,0
"680","A001","29/09/2018",16,32,32.6,30.8,22,27,20,7.6,10.3,6.7,885.1,886,885.1,2.5,55,6.8,3559,0
"627","A001","27/09/2018",21,28.9,30.5,28.8,24,24,21,6.3,6.5,5.8,883.8,883.8,883.6,1.6,49,6,279.9,0
"638","A001","27/09/2018",10,19.8,19.8,16.2,53,59,50,10,11,7.6,886.3,886.3,885.5,0.8,331,2,210.4,0
"578","A001","25/09/2018",22,27.9,29.4,27.9,24,25,22,5.8,6.6,5.1,884.4,884.4,884.1,1.6,101,4,3.889,0
"552","A001","23/09/2018",0,21.2,23.9,21.2,53,56,41,11.2,13,9.8,885.7,885.7,885.2,1.3,106,2.4,-3.54,0
"531","A001","23/09/2018",21,29.4,30.8,29.4,29,29,25,9.5,9.5,8.2,885,885,884.6,2.9,124,6,528.1,0
"199","A001","09/09/2018",17,27.8,28.4,26.3,20,24,19,3.1,4.3,2.5,887.5,888.5,887.5,3.2,106,7.7,3314,0
"635","A001","27/09/2018",13,28.2,28.5,25.9,25,29,24,6.6,7.1,5.6,887.8,887.8,887.6,3.5,348,6.4,2635,0
"76","A001","04/09/2018",20,27.7,28.8,27.6,22,23,21,4.1,5.4,3.6,884,884,883.5,3.5,285,10.1,1282,0
"715","A001","30/09/2018",5,21.2,24,21.2,53,55,44,11.3,12.6,11.1,884.5,885.1,884.4,1.2,290,1.7,-3.54,0
"4","A001","01/09/2018",20,28.2,29,28.1,24,25,23,5.6,6.7,5.4,885.9,885.9,885.7,2.7,64,6.1,1311,0
"449","A001","19/09/2018",7,17.7,18.3,17.6,92,92,88,16.4,16.6,16.1,885.8,885.8,885.6,0.8,220,2.4,-2.78,0
"375","A001","16/09/2018",9,17.3,18.7,16.3,87,89,78,15.1,15.1,13.9,885.8,885.8,885,1.4,72,2.2,-3.54,0
"46","A001","02/09/2018",2,21.7,22.4,21.7,38,38,36,6.6,6.6,6.3,888.6,888.6,888.3,2.3,84,4.3,-3.54,0
"174","A001","08/09/2018",18,27.9,28.2,27.1,19,22,16,1.8,3.7,0.1,887.1,887.9,887.1,4,124,9.1,2890,0
"655","A001","28/09/2018",17,31.4,32.5,30.9,21,22,19,6.7,6.8,5.5,885.6,886.5,885.6,1.3,264,5.2,3119,0
"213","A001","09/09/2018",3,19.9,20.5,19.4,31,32,29,2.2,2.3,1.8,889.2,889.4,889.2,2.7,101,4.4,-3.54,0
"58","A001","03/09/2018",14,27.3,27.8,24.8,28,37,27,7,9.3,6.7,888,888.5,888,2.1,334,5.5,2948,0
"10","A001","01/09/2018",14,26.4,26.9,24.8,27,31,26,5.6,7.3,5.6,889.1,889.5,889.1,3.8,94,7.5,2977,0
"661","A001","28/09/2018",11,22.6,23,22.2,49,49,44,11.3,11.3,9.7,887.6,887.6,886.6,2.6,191,5.4,678.3,0
"374","A001","16/09/2018",10,20.8,20.8,16.6,64,87,64,13.7,15.2,13.7,886.7,886.7,885.8,1.6,91,3.3,144.4,0
"401","A001","17/09/2018",7,17.8,18.4,17.8,89,90,86,16,16.2,15.9,885.5,886.3,885.5,3.3,162,6.3,-3.48,0.2
"238","A001","10/09/2018",2,20.6,21.7,20.5,35,35,31,4.7,4.8,3.7,888.9,888.9,888.7,2.3,91,5.5,-3.54,0
"182","A001","08/09/2018",10,17.6,17.6,16.6,61,65,61,10.1,10.2,9.9,889.3,889.3,888.5,2.4,106,5.9,106.3,0
"139","A001","06/09/2018",5,17.3,18.5,16.2,48,54,47,6.3,7.3,6.3,887.6,887.9,887.6,1.6,146,2.8,-3.54,0
"385","A001","17/09/2018",23,17.7,18,17.5,87,87,85,15.6,15.6,15.1,887.1,887.1,886.4,1.9,141,5.6,-0.99,0
"657","A001","28/09/2018",15,30.7,31.1,29.1,24,30,22,7.7,9.9,6.5,887.5,888,887.5,2,96,6,3364,0
"386","A001","17/09/2018",22,18,18.3,18,85,85,79,15.5,15.6,14.5,886.5,886.6,886.3,3.1,124,6,5.677,0.2
"307","A001","13/09/2018",5,23.8,24.2,23.7,28,28,27,4.1,4.4,3.9,886.6,887.2,886.6,3.1,84,4.9,-3.54,0
"287","A001","12/09/2018",1,23.6,23.6,22.7,25,28,25,2.2,3.5,2.2,887.7,887.7,887.4,2.3,81,3.6,-3.54,0
"672","A001","28/09/2018",0,25.2,26.6,25.2,33,33,30,7.6,7.8,7.5,885.5,885.5,884.7,1.5,45,3.5,-3.54,0
"668","A001","28/09/2018",4,24.1,24.5,22.5,36,45,34,8.1,10.2,7.8,886,886.3,886,1.6,67,3.4,-3.54,0
"553","A001","24/09/2018",23,27.3,28.1,27.3,34,35,32,10.2,10.2,9.8,885.8,885.8,885,1.9,84,4.6,-3.54,0
"698","A001","30/09/2018",22,26.7,28.1,26.7,48,49,42,15,15.3,14,884.7,884.7,883.8,1.9,208,6.9,-0.55,0
"42","A001","02/09/2018",6,19.7,20.7,19.7,47,47,43,8.1,8.1,7.8,887.4,887.5,887.3,2,65,6.7,-3.54,0
"409","A001","18/09/2018",23,22.7,22.7,18.7,62,86,61,15,16.5,14.9,885.7,885.8,885.5,2.7,54,10.1,-0.73,6.8
"484","A001","21/09/2018",20,24.1,24.6,23.8,54,59,52,14.3,15.6,14,886,886.2,885.8,1.9,326,5,351.7,0
"272","A001","12/09/2018",16,29.7,31,29,17,17,16,1.7,2.5,1,886.5,887.3,886.5,1.6,117,7,2592,0
"190","A001","08/09/2018",2,21.7,22.3,21.7,43,43,41,8.5,8.6,8.4,889.5,889.5,889.4,3.3,118,7.2,-3.54,0
"574","A001","24/09/2018",2,21.8,22.8,21.5,62,63,50,14.2,14.4,11.6,887.2,887.3,887.1,0.5,22,1,-3.54,0
"654","A001","28/09/2018",18,31.9,33.3,30.4,20,23,18,6,7.9,5.5,884.9,885.6,884.8,1.8,90,4.7,2160,0
"217","A001","10/09/2018",23,23.4,24.4,23.4,25,25,24,2.4,2.7,2.1,887.9,887.9,887.3,1.8,117,3.8,-3.54,0
"618","A001","26/09/2018",6,21,21.3,19.1,47,58,46,9.4,10.6,8.6,885.1,885.1,884.8,2.2,118,3.8,-3.54,0
"299","A001","13/09/2018",13,25.3,25.4,23.6,35,38,34,8.6,8.8,8,888.6,888.8,888.5,4.3,64,8.2,2324,0
"623","A001","26/09/2018",1,24.7,26.6,24.5,31,33,27,6.4,7.2,6,886.5,886.5,885.7,1.5,57,4.3,-3.54,0
"71","A001","03/09/2018",1,21.8,22.9,21.3,43,48,35,8.7,9.6,6.6,888.3,888.3,887.8,0.5,106,2.3,-3.54,0
"70","A001","03/09/2018",2,21.7,23.6,21.6,41,44,34,7.8,8.9,6.6,888.1,888.3,888.1,1.4,340,2.4,-3.54,0
"538","A001","23/09/2018",14,28.9,28.9,26.3,32,38,32,10.7,11,9.5,887.5,887.7,887.5,3.7,97,7.2,3022,0
"255","A001","11/09/2018",9,17.9,18.6,14.3,45,60,42,5.7,6.7,5.3,887.1,887.1,886.8,1.8,57,4.1,-3.54,0
